"Group","Acetobacter","Acidaminococcaceae_unclassified","Acidocella","Acinetobacter","Actinobacillus","Actinobacteria_unclassified","Actinobaculum","Actinomyces","Actinomycetaceae_unclassified","Actinomycetales_unclassified","Actinosynnema","Aerococcaceae_unclassified","Aeromonadaceae_unclassified","Aeromonas","Aggregatibacter","Akkermansia","Albidiferax","Alcaligenaceae_unclassified","Alistipes","Alloprevotella","Alphaproteobacteria_unclassified","Amaricoccus","Anaerococcus","Anaerostipes","Anaerotruncus","Anaerovorax","Aquabacterium","Arthrobacter","Atopobium","Atopostipes","Auritidibacter","Azomonas","Azospira","Bacillaceae_2_unclassified","Bacillales_unclassified","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brachybacterium","Brachyspira","Bradyrhizobiaceae_unclassified","Bradyrhizobium","Branchiibius","Brevibacterium","Brevundimonas","Burkholderia","Burkholderiaceae_unclassified","Burkholderiales_incertae_sedis_unclassified","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Campylobacterales_unclassified","Candidatus_Koribacter_unclassified","Candidatus_Saccharibacteria_unclassified","Candidatus_Solibacter_unclassified","Capnocytophaga","Carnobacteriaceae_unclassified","Catenibacterium","Catonella","Caulobacter","Caulobacteraceae_unclassified","Cedecea","Centipeda","Chitinophagaceae_unclassified","Cloacibacterium","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_Incertae_Sedis_XIII_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonadaceae_unclassified","Comamonas","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacteriaceae_unclassified","Corynebacterium","Cupriavidus","Curvibacter","Dechloromonas","Deinococcaceae_unclassified","Deltaproteobacteria_unclassified","Dermacoccaceae_unclassified","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Diaphorobacter","Dongia","Dorea","Eggerthella","Eikenella","Enhydrobacter","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Erysipelotrichaceae_unclassified","Escherichia/Shigella","Ethanoligenens","Eubacteriaceae_unclassified","Eubacterium","Facklamia","Faecalibacterium","Falsibacillus","Filifactor","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavonifractor","Fusobacteriaceae_unclassified","Fusobacteriales_unclassified","Fusobacterium","Gaiella","Gammaproteobacteria_unclassified","Gemella","Globicatella","Gordonia","Gp5_unclassified","Granulicatella","Haemophilus","Helcococcus","Helicobacter","Helicobacteraceae_unclassified","Herbaspirillum","Holdemania","Howardella","Ignavibacterium","Intrasporangiaceae_unclassified","Jeotgalicoccus","Jonquetella","Kineosporia","Kineosporiaceae_unclassified","Klebsiella","Kocuria","Kribbella","Lachnoanaerobaculum","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Leifsonia","Leminorella","Lentzea","Leptospira","Leptotrichia","Leptotrichiaceae_unclassified","Leuconostoc","Leuconostocaceae_unclassified","Massilia","Megasphaera","Methylophilaceae_unclassified","Microbacteriaceae_unclassified","Microbacterium","Micrococcaceae_unclassified","Micrococcus","Micromonosporaceae_unclassified","Mobiluncus","Mogibacterium","Moraxellaceae_unclassified","Mycobacteriaceae_unclassified","Mycobacterium","Mycoplasma","Neisseriaceae_unclassified","Niastella","Nitrospira","Nocardiaceae_unclassified","Nocardioidaceae_unclassified","Nocardioides","Nosocomiicoccus","Odoribacter","Ohtaekwangia_unclassified","Opitutus","Oribacterium","Oscillibacter","Oxalobacteraceae_unclassified","Paenibacillaceae_1_unclassified","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pelomonas","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Pirellula","Planctomycetaceae_unclassified","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudoflavonifractor","Pseudomonadaceae_unclassified","Pseudonocardiaceae_unclassified","Psychrobacter","Pyramidobacter","Ralstonia","Raoultella","Rhizobiales_unclassified","Rikenellaceae_unclassified","Robinsoniella","Roseburia","Rothia","Rubrobacter","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Sarcina","Selenomonadales_unclassified","Selenomonas","Serpens","Slackia","Solobacterium","Sphingomonadaceae_unclassified","Sphingomonadales_unclassified","Sphingomonas","Sporobacter","Sporobacterium","Staphylococcaceae_unclassified","Staphylococcus","Stenotrophomonas","Stenoxybacter","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Sutterella","Synergistaceae_unclassified","Tessaracoccus","Thermomonosporaceae_unclassified","Tissierella","Trabulsiella","Treponema","Turicella","Turicibacter","Veillonella","Veillonellaceae_unclassified","Verrucomicrobia_unclassified","Verrucomicrobiaceae_unclassified","Weissella","Xanthomonadaceae_unclassified","Xanthomonadales_unclassified","Xanthomonas","Xylanibacter","Zavarzinella"
"SRR2059299",0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,60,141,246,6,0,1,12,37,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,5,0,0,181,0,0,16,49,0,11,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,104,0,0,0,0,0,0,0,0,44,0,90,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,180,0,0,11,0,0,0,0,0,0,0,0,2,442,1,0,0,0,0,0,317,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,2,241,0,0,0,0,0,0,19,246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SRR2059300",0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,1,0,20,42,0,0,223,0,0,0,0,0,0,0,0,0,0,0,52,66,40,16,361,50,0,0,0,0,0,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,80,0,0,0,0,0,11,25,0,0,0,0,0,41,0,71,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,50,1,0,0,0,0,15,0,0,0,25,0,0,11,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,47,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,142,0,0,0,0,0,0,54,0,0,0,0,7,0,25,174,0,0,0,0,0,0,0,0,0,0,0,0,0,32,146,0,0,5,465,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059311",0,10,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,560,776,0,0,0,0,0,25,0,0,0,0,0,0,0,0,55,39,93,61,844,18,0,0,1,28,0,174,0,0,0,0,0,10,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,7,0,1,75,19,53,0,0,120,24,80,58,0,0,0,0,1,0,0,0,0,0,0,0,0,9,29,7,34,0,0,3,7,0,0,80,0,0,5,417,0,0,5,0,387,0,0,0,60,0,6,4,0,201,0,1,33,0,0,0,3,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,34,589,0,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,62,0,0,666,0,0,651,1,0,0,0,0,72,0,0,0,7,288,23,39,1,81,3,0,0,0,0,0,41,33,2,2,0,29,0,0,514,0,58,6,85,0,0,0,31,0,0,1,0,0,17,206,0,0,15,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059313",0,0,0,95,0,1,0,0,0,89,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,45,17,2059,7,0,0,5,63,0,73,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,2,0,0,0,0,0,17,0,0,26,0,631,269,1,0,0,318,0,138,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,102,0,0,0,5,0,12,23,5,1207,0,122,0,0,0,0,1,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,571,38,138,78,0,0,0,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,6,154,0,0,0,0,0,0,0,1,75,0,0,0,0,0,0,231,0,0,0,0,196,0,114,202,0,0,0,0,48,0,0,0,17,2,276,0,0,0,0,215,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"SRR2059316",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,11,1,18,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,6,0,1,1,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,239,11,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,60,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,15,0,2,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"SRR2059318",0,0,0,0,0,0,0,45,2,11,1,0,0,0,0,0,0,0,9,0,0,0,33,0,0,0,63,0,0,0,0,0,0,0,51,23,164,31,2353,16,123,0,0,7,0,20,0,0,0,0,0,0,13,0,2,0,0,0,0,159,0,0,0,0,661,0,0,0,0,0,0,0,29,0,23,0,0,0,273,0,0,0,2,159,87,18,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,47,0,22,0,0,0,0,86,1,0,0,0,0,140,0,0,0,74,40,0,42,1,1680,0,29,170,0,0,0,0,0,0,0,0,0,2,0,0,0,40,0,6,0,0,0,0,409,350,0,15,0,0,0,0,0,0,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,2,0,0,188,0,0,0,23,75,0,0,1,339,1,0,19,17,0,0,90,0,0,0,0,4,0,0,134,0,37,0,1,26,0,0,25,0,0,0,0,0,7,31,0,0,19,335,51,0,0,0,0,0,0,38,0,0,13,440,0,0,120,0,0,0,0,0
"SRR2059322",0,0,0,0,0,2,0,0,0,29,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,6,0,0,1,0,33,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,114,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,1,0,0,0,0,0,0,0,7,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39,113,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,4,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SRR2059328",0,7,0,0,0,8,0,0,0,182,0,0,0,0,0,291,0,0,115,40,0,0,0,1,0,23,0,0,0,0,1,0,5,0,0,23,228,149,1727,9,215,1,1,75,0,1611,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,31,49,12,0,0,0,543,55,0,0,2,56,106,1,24,4,0,0,0,0,0,0,0,0,21,0,0,0,5,4,1,27,0,0,0,0,0,0,21,0,0,344,189,0,0,0,0,3339,0,0,0,221,41,2,8,0,326,0,0,0,0,0,0,93,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38,1872,0,28,0,0,0,0,0,7,0,0,0,0,37,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,5,8,0,399,0,2016,0,0,65,0,0,0,0,0,0,0,1,2,188,5,0,174,5,0,0,0,0,0,51,0,0,0,0,0,0,0,2480,0,114,0,57,0,0,0,0,0,0,0,0,0,1,0,0,0,32,194,6,0,0,0,0,0,0,0,0,0,57,13,0,1,0,0,0,0,0,0
"SRR2059329",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,192,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,15,0,0,0,0,25,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
