"SRR2059331",45,0,0,0,0,1,0,0,0,225,0,0,0,0,12,339,0,0,251,1,0,0,83,0,0,0,0,1,0,0,5,0,0,0,14,79,934,277,2615,8,251,0,37,41,0,34,0,0,0,0,5,0,0,6,4,0,7,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,19,0,0,0,231,281,0,350,0,0,0,0,0,2,0,0,6,0,0,10,0,0,0,0,0,1,27,1,1,0,0,0,106,0,0,0,0,1,0,548,0,0,0,0,0,72,0,0,103,427,0,0,0,0,1,0,1,0,0,0,0,0,30,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,681,2,93,387,18,0,0,0,0,0,0,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,123,0,0,0,4,109,0,0,7,0,39,0,0,0,0,0,0,2,473,0,0,0,0,0,0,27,0,0,0,0,0,0,1,856,101,9,0,1,0,0,0,0,0,0,0,0,0,4,98,0,0,24,779,24,68,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"SRR2059332",0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,20,7,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,3,0,0,0,0,7,0,0,0,0,0,8,0,0,0,2,0,0,0,2,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,42,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3,0,0,0,8,0,0,0,13,38,67,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,138,0,0,0,7,0,0,0,0,0,1,1,0
"SRR2059333",0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,53,16,5095,7,0,1,0,0,32,546,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12,66,0,710,0,129,0,930,145,579,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,15,0,0,0,23,0,0,45,0,0,8,31,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,11,0,0,0,0,0,254,0,0,0,0,90,0,0,0,0,0,0,0,1,0,0,0,1223,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,97,0,73,118,0,0,17,0,0,0,0,1,0,0,0,0,295,0,0,58,0,1,0,110,0,0,0,0,1058,0,0,282,0,234,0,1,0,2,0,0,5,1,107,0,0,26,95,0,0,0,80,0,0,0,0,0,0,0,0,0,0,94,5,0,0,0,0,0,0,0,0
"SRR2059336",0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,8,3,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,5,0,21,0,0,0,16,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,8,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1,3,3,35,0,0,0,0,0,7,32,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"SRR2059339",0,0,0,0,0,4,0,17,0,101,0,0,0,0,0,0,2,0,33,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,181,14,227,10,409,1,0,0,7,265,0,1,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,26,155,130,0,0,0,1404,0,0,1,39,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0,0,0,384,0,0,0,202,0,0,1,0,0,0,5,0,185,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1320,0,140,54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,393,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,8,0,439,0,0,0,0,157,0,27,0,0,0,0,24,7,0,319,0,0,1,0,0,0,0,0,9,1,109,0,0,80,94,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059340",0,0,0,0,0,0,0,42,0,20,0,2,0,0,0,0,0,0,83,0,0,0,0,1,0,0,0,0,40,94,0,0,0,139,82,71,60,7,641,8,0,1,0,55,0,195,0,0,0,0,0,0,0,0,5,0,39,0,0,0,0,0,15,0,0,4,88,0,0,0,0,0,104,0,14,42,0,0,655,40,0,1,0,610,0,99,186,4,0,0,1,105,0,73,0,0,0,0,0,0,0,0,0,2,0,0,207,0,0,0,100,0,0,90,0,0,0,0,133,118,0,0,0,134,0,29,0,0,121,0,2,0,0,0,0,80,0,0,0,0,14,39,0,0,0,0,0,0,0,44,0,0,378,1392,1,146,165,303,29,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,40,0,0,0,0,1,0,37,535,0,0,0,0,0,0,0,0,0,16,1,0,349,18,0,0,0,0,0,214,0,0,1,0,35,0,0,616,78,102,0,0,171,0,13,0,0,0,0,0,0,31,303,0,0,13,605,717,0,0,0,0,115,0,0,0,0,29,57,0,0,0,0,0,0,0,0
"SRR2059341",0,0,9,84,0,2,0,0,0,52,0,0,0,0,0,6,0,0,2,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,75,10,30,1,24,1,2,3,0,4,0,2,0,0,29,3,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,54,0,1,0,0,0,29,19,0,2,0,0,17,1,1,1,0,4,2,3,1,123,0,1,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,3,0,0,2,18,0,0,9,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,75,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,265,0,0,0,1,0,0,0,0,0,40,10,0,179,1,0,30,0,0,0,433,0,0,0,0,1,0,2,4,0,1,71,0,0,0,0,0,0,0,2,0,0,31,126,0,0,0,106,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059345",0,0,0,97,0,83,0,9,0,312,0,0,0,0,0,0,0,30,0,0,24,0,0,0,0,0,0,0,0,0,15,2,0,0,14,11,55,0,29,1,0,1,0,138,0,0,0,0,7,26,0,0,49,35,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,1,0,1,5,5,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,116,0,0,6,19,62,37,0,0,0,74,0,0,0,0,0,0,0,0,0,0,9,254,44,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,115,0,0,0,0,0,0,0,0,1,86,13,1,642,12,0,206,25,0,0,4,0,11,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,11,251,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
"SRR2059346",0,0,0,161,0,0,0,0,0,118,0,0,0,33,0,581,0,0,634,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,116,2,97,54,1616,8,0,2,0,0,0,157,0,0,0,0,0,0,0,0,2,0,0,64,11,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,9,1,0,0,87,21,90,0,0,33,198,0,83,0,0,261,0,0,0,115,0,0,0,0,1,0,10,2,14,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,576,0,138,0,52,0,11,5,0,195,0,1,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,407,1,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,0,0,292,0,0,230,0,0,0,0,0,49,0,0,0,1,0,145,121,0,126,1,1,0,0,0,0,198,0,0,0,0,0,0,22,364,0,134,0,38,26,0,0,163,7,0,125,0,0,19,48,0,0,0,0,25,0,9,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0
"SRR2059352",0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,29,58,66,1064,5042,26,0,1,0,0,0,321,0,0,0,0,0,0,0,0,3,0,4,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,0,120,57,7,0,0,836,187,0,24,0,0,0,8,0,0,0,41,0,0,0,1,0,59,3,4,0,0,0,1447,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,49,25,0,0,6,0,159,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,0,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,59,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,71,0,0,0,0,0,0,0,0,2,0,0,0,42,1,0,0,0,0,0,1,0,0,0,0,141,65,0,71,0,18,0,1,0,0,0,0,0,0,0,0,1,14,44,0,0,21,873,0,0,0,0,0,0,0,0,0,0,397,6,0,0,0,0,0,0,0,0
"SRR2059358",0,0,0,0,0,7,0,0,0,123,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,59,184,1543,7,14,6,5,134,0,366,0,0,0,0,0,0,0,0,4,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,69,0,0,0,0,32,0,0,0,0,0,0,0,63,0,0,0,0,2,0,223,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,3,0,0,39,14,0,0,0,0,1148,0,0,0,20,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,1552,1,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,27,0,0,54,0,164,0,0,1,0,0,0,0,0,0,0,0,0,39,0,2,424,26,0,10,0,0,0,509,0,0,8,0,9,0,1,776,0,5,1,0,0,0,0,0,0,0,0,0,0,0,50,0,1,4,87,22,0,0,0,0,0,0,0,0,0,68,4,0,0,0,0,0,0,0,0
"SRR2059369",0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,82,122,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,1,0,0,0,1,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,10,1,0,8,0,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,0,1,12,0,0,0,0,0,0,0,0,0,1,0,22,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,6,2,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059371",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2251,1,0,1883,0,2,0,32,0,400,1,0,0,0,0,0,0,0,0,80,17,109,39,7409,13,8,0,0,0,0,82,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,20,14,0,0,225,0,4,0,0,0,90,56,0,0,0,74,0,0,124,52,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,28,0,0,0,0,0,127,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,4,94,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,131,0,0,293,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,1,181,0,0,0,5,0,161,212,0,0,7,0,0,0,126,913,0,0,0,0,0,0,0,0,13,3,190,0,0,11,33,0,0,17,346,1,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059374",0,0,0,5,0,0,0,1,0,22,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,12,51,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,9,0,0,0,1,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,9,5,0,19,0,19,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,8,0,0,22,0,1,0,0,0,0,0,0,0,3,1,68,31,0,5,1,0,0,0,0,1,2,0,0,0,0,4,0,0,20,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"SRR2059375",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,36,16,170,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,1,2,2,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,2,38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,50,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,1,6,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"SRR2059376",0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,6,61,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,2,0,0,0,7,0,0,1,0,23,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,91,0,0,0,0,0,4,0,0,0,6,68,150,1,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059378",0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,67,9,188,8,3,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,12,2,0,3,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,2,2,6,0,0,0,27,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,1,0,55,0,1,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,59,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SRR2059379",0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,7,5,13,11,52,0,6,0,1,1,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,24,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,3,0,0,7,0,0,0,0,0,15,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,2,0,0,0,1,0,0,0,0,13,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,6,0,0,56,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2059380",0,0,0,0,0,0,13,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,36,16,438,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,31,1,0,0,69,2,27,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,12,0,0,0,0,0,0,0,0,19,0,0,8,0,112,0,0,1,0,0,0,0,0,3,12,1,0,11,0,0,0,0,26,0,0,0,0,0,0,150,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,295,0,3,1,22,0,0,0,0,0,3,23,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,10,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
