"stc8",0,0,0,0,0,0,8,1,6,0,0,0,0,0,17,0,0,0,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,67,87,1555,11,16,0,1,0,17,12,0,0,175,0,0,0,0,0,0,0,0,0,1,0,0,2,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,176,0,8,28,41,1019,13,22,17,0,0,1,485,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,55,0,0,0,218,0,0,0,48,0,11,0,0,0,0,0,0,340,0,2,1,3,0,0,688,0,0,81,0,0,19,0,0,0,0,0,0,1,0,272,0,0,0,0,1,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1932,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,22,0,0,0,0,0,20,0,0,0,33,5,85,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,165,0,0,0,336,305,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"stp1",0,6,0,0,0,48,570,7,432,2,60,0,0,0,244,160,320,6,11,0,694,15,7,563,48,3,0,0,4,414,0,1,0,5,12,59,13,4,0,16,1,15,0,51,1,4,51,1,944,1673,23295,246,53,0,8,13,191,178,1,4,2863,0,0,1,0,0,0,2,0,7,3,64,4,105,203,173,1012,2,5,11,4,2,1,0,1,172,1,1,0,2,1,0,0,6,1,44,8,19,15,20,5,145,946,6,264,705,1456,5039,558,1272,2146,17,250,19,773,223,7,0,25,0,13,0,0,0,1,5,152,5,0,1,32,32,0,2,427,198,1,0,4245,0,3,0,441,1,160,3,75,345,6,808,2,5522,3,4868,4,48,1,1,4058,340,14,747,39,9,206,1,10,411,86,9382,0,28,0,2130,0,5,3,0,6,0,0,648,173,5,1,1,6,0,1,1,4,9,2,0,3,1,0,0,6,0,2,1,173,1,3,493,99,17129,14,393,119,5,7,1,0,148,1,2,19,0,0,0,1,0,3,0,3,173,9,0,0,11,1,1,5,0,0,2,20,399,7,1253,65,3,214,1,84,105,0,0,0,0,13,2,2,13,2,0,0,0,1,42,834,0,35,0,1027,1,1,0,1,8,907,12,75,0,17,63,2893,6,0,5,1,2,4,180,16,1250,0,23,1,0,2,0,2,0,7,1,0,2,93,1835,4264,967,0,0,12,26,17,7,2,4,81,0,384,0,1,5,356,1,0,0,0,3,2,0,11,0,8,2,16,2583,10,4,5,4174,3482,11427,0,5,1,0,0,0,54,1,9,101,1,62,0,93,0,1,0,688,7,0,6,20,3,5,3,0,0,0,0,12,64,32,7876,0,17,0,633,22,12,0,0,3,3,1,0,0,3,3,0,22,0,0,9,20,25,11,1,1,1,492,0,2,0
"swc10",0,0,0,0,0,0,11,0,2,0,1,0,0,0,0,0,1,0,0,0,20,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,30,2961,9,5,0,0,0,1,2,0,0,90,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,21,0,0,0,6,285,14,2,0,0,61,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18,0,0,0,65,0,0,0,0,0,0,2,0,28,0,1,0,3,0,1321,0,0,0,0,17,0,14,9,1,0,0,0,0,7,0,34,0,0,0,17,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,872,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,3,0,0,0,0,0,17,4,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,22,0,0,0,1,2,8,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,86,654,47,0,0,0,0,0,0,0,2,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,84,35,140,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,47,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0
"swc11",0,0,0,0,0,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,9,353,0,0,0,1,0,55,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,33,35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,62,0,15,42,0,138,3,12,9,0,0,2,66,2,0,0,1,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,75,2,0,0,184,0,0,0,27,0,0,0,0,1,0,1,0,273,0,51,0,0,0,0,980,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,868,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,9,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,246,14,0,0,30,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,1,1,0,100,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,5,0,0,0
"swc12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,133,1644,18,2,0,0,0,0,9,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,162,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,50,0,0,0,0,0,0,0,0,24,0,0,1,14,0,211,0,0,0,0,661,0,3,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,83,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,19,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"swc14",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114,0,0,0,376,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,41,781,4,2,0,0,0,0,3,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,0,1,34,170,20,75,0,0,0,25,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,186,0,3,10,0,0,8,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,238,0,0,0,0,0,78,0,0,0,3,7,11,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,236,72,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"swc15",0,0,0,1,0,0,4,0,13,0,0,0,0,0,0,0,29,0,0,0,6,0,0,2,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,1298,4,0,0,1,0,0,20,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,23,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,0,1,37,6,118,27,0,49,5,0,1,20,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,37,0,0,0,123,0,0,0,5,0,2,0,0,3,0,4,0,89,0,107,0,0,0,0,323,2,0,6,0,0,7,0,0,11,1,206,0,2,0,17,0,0,0,0,0,0,0,2,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,627,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,9,0,0,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,44,0,2,0,0,8,65,3,0,0,0,4,0,9,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,75,76,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,131,0,864,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,26,0,0,0
"swc22",0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,1,1,0,17,0,0,0,0,0,0,0,0,0,0,4,0,13,16,591,5,0,0,0,0,4,5,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,15,118,0,1,5,0,36,5,0,5,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,86,0,0,0,5,0,0,0,0,98,3,249,0,53,0,0,0,0,0,0,177,0,51,12,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,28,784,0,21,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,28,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,132,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,38,95,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"swc31",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,0,0,0,32,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,30,62,743,8,0,0,0,0,0,4,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,61,1,0,10,1,12,11,0,0,0,0,2,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,20,0,13,0,0,0,0,248,0,0,11,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35,0,0,0,0,0,27,0,0,0,25,0,14,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,77,0,0,0,304,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"swc33",0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,17,0,0,3,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,20,590,2,2,0,0,0,0,49,0,0,441,0,0,0,0,0,0,5,0,0,0,1,0,0,43,10,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,5,126,1,9,4,161,313,99,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,122,0,0,1,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,223,2,2,2,0,0,0,0,0,15,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,18,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,0,0,0,0,0,83,0,0,0,6,6,79,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,111,17,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"swc7",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,8,2,126,0,0,0,0,0,15,2,0,0,213,0,0,0,0,0,0,2,0,0,0,0,0,0,14,4,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,24,0,8,0,33,17,2,18,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,0,0,0,953,5,0,0,0,0,1,0,0,3,0,134,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,53,0,0,0,9,0,107,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,20,26,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"swp12",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,4,15,0,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,1,0,29,11,163,2,0,0,0,4,25,7,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,140,1,28,28,0,19,3,4,154,0,4,0,152,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,136,0,0,0,0,0,0,0,1,40,0,0,0,483,0,476,0,6,0,0,79,0,4,19,0,0,28,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,459,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,243,0,0,0,0,0,45,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,453,102,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"swp15",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,65,0,0,0,13,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,322,1,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,26,0,0,27,2,485,43,12,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,0,0,9,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1,0,103,0,1,0,1,0,0,346,23,1,51,0,0,24,0,0,1,0,27,0,0,0,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,90,0,0,0,0,0,73,0,11,0,0,0,305,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1347,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,58,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
"swp17",0,0,0,0,0,7,54,0,0,1,1,0,0,0,0,0,7,0,1,0,49,0,0,151,0,0,0,0,0,4,0,0,0,1,40,1,0,6,0,0,0,0,0,0,0,0,0,0,73,160,2652,39,12,0,0,0,10,47,0,0,210,0,0,0,0,0,0,0,0,0,0,15,1,5,13,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,88,0,11,151,6,679,33,76,76,2,163,0,37,2,0,1,28,0,1,0,1,0,0,0,24,0,0,0,21,1,0,0,55,4,0,0,100,0,0,0,29,0,0,4,0,20,0,45,0,39,0,311,0,3,0,0,257,4,0,127,0,0,17,0,6,9,0,169,0,1,0,11,0,0,3,0,0,0,0,11,28,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,728,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,14,0,2,0,0,111,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,8,0,61,0,0,0,0,3,146,0,9,1,41,6,148,0,0,0,0,0,0,6,0,46,0,4,0,0,0,0,0,2,0,0,0,0,8,18,1618,28,0,0,0,0,0,0,0,0,3,0,20,0,0,1,59,0,0,0,0,0,0,0,0,0,0,1,1,98,0,0,0,180,41,125,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,17,1,0,74,0,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,138,0,1,0
"swp20",0,0,0,0,0,1,5,0,11,2,2,0,0,0,0,0,50,0,0,0,54,0,0,14,0,0,0,0,0,77,3,0,0,0,13,1,0,0,0,0,0,5,0,0,0,0,0,0,22,55,1885,8,5,0,0,0,0,20,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,16,0,28,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,11,5,553,21,6,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,10,0,0,0,110,0,0,0,60,0,7,0,0,0,0,0,0,9,0,6,0,1,0,0,8,0,0,6,0,0,6,0,0,5,1,309,0,1,0,211,0,0,0,0,0,0,0,70,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,28,0,0,0,0,0,35,0,0,0,0,1,257,12,0,0,0,0,2,0,0,168,1,0,0,0,0,0,0,0,0,0,0,0,8,24,131,5,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"swp31",0,0,0,0,0,128,6,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,1,17,0,0,1,3,0,17,0,0,0,0,0,0,0,2,0,0,0,0,16,39,3451,6,27,0,0,0,1,0,0,0,288,0,0,0,0,0,0,0,0,0,0,1,0,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,102,0,111,0,13,0,0,584,30,7,0,2,3,0,192,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,21,0,0,373,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,24,0,28,12,0,0,96,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,573,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,159,0,0,0,0,0,79,0,0,0,2,70,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,509,167,0,0,0,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0,0,120,120,466,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"swp6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,0,0,0,0,0,10,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,5,1,6,5,0,15,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,466,7,0,1,0,0,0,0,0,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,21,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
