"Group","Acidaminococcaceae_unclassified","Acidaminococcus","Acidobacteria_Gp4_unclassified","Actinobacteria_unclassified","Actinomycetales_unclassified","Akkermansia","Alistipes","Alloprevotella","Alphaproteobacteria_unclassified","Anaerococcus","Anaerostipes","Anaerotruncus","Asaccharobacter","Bacillaceae_1_unclassified","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Burkholderiales_unclassified","Butyricimonas","Byssovorax","Campylobacter","Chitinophagaceae_unclassified","Cloacibacillus","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XlVa","Clostridium_XlVb","Collinsella","Coprococcus","Coriobacteriaceae_unclassified","Cytophagales_unclassified","Deltaproteobacteria_unclassified","Desulfovibrio","Desulfovibrionales_unclassified","Devosia","Dialister","Dorea","Enterobacteriaceae_unclassified","Erysipelotrichaceae_unclassified","Escherichia/Shigella","Eubacterium","Faecalibacterium","Firmicutes_unclassified","Flavobacterium","Flavonifractor","Fusobacterium","Gemella","Gp16_unclassified","Gp3_unclassified","Gp4_unclassified","Gp6_unclassified","Howardella","Hydrogenoanaerobacterium","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Megamonas","Megasphaera","Microbacteriaceae_unclassified","Mogibacterium","Mucispirillum","Nocardioides","Odoribacter","Opitutaceae_unclassified","Oscillibacter","Papillibacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Pirellula","Planctomycetaceae_unclassified","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Proteobacteria_unclassified","Pseudoflavonifractor","Pseudonocardiaceae_unclassified","Rhizobium","Roseburia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Selenomonadales_unclassified","Skermanella","Slackia","Sphingomonadaceae_unclassified","Sporobacter","Steroidobacter","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","Synergistaceae_unclassified","Turicibacter","Veillonella","Veillonellaceae_unclassified","Verrucomicrobia_unclassified","Victivallis"
"BE10.1",8,0,0,0,0,45,46,0,0,0,10,0,0,0,0,5,5,895,0,26,0,0,7,8,32,0,0,0,0,0,1,0,0,45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,0,81,9,0,3,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,0,12,0,2,0,32,0,73,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,21,39,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE5.1",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,5,460,0,0,0,0,21,4,40,0,0,0,0,0,0,0,1,44,0,0,1,3,0,0,4,0,0,0,0,0,0,21,8,0,0,0,0,87,26,0,0,0,0,0,0,0,0,0,0,67,0,2,0,0,0,0,0,0,0,0,0,0,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,31,18,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0
"BE6.1",0,0,0,0,0,21,100,0,0,0,17,0,0,0,0,11,1,974,2,47,0,0,0,3,22,0,0,0,0,0,0,0,0,57,0,0,1,0,0,0,5,0,0,0,0,0,0,20,2,0,0,0,0,135,5,0,1,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,5,3,0,0,0,0,3,0,5,0,0,1,0,0,0,1,0,1
"BE8.1",0,0,0,0,0,98,13,0,0,0,4,1,0,0,0,46,32,350,114,1,0,1,53,0,46,0,35,0,0,0,0,0,5,96,18,0,0,0,1,1,2,0,0,0,0,0,0,139,15,0,0,0,0,26,32,0,1,0,0,0,0,0,0,0,0,118,0,0,0,0,64,0,0,0,0,0,18,0,17,0,18,6,0,0,0,0,0,0,0,0,0,0,95,44,0,0,0,0,86,74,9,16,1,0,0,0,1,0,1,1,0,86,0,1,1,6,0,0
"MP10_FS",0,0,0,0,0,489,129,0,0,0,7,0,0,0,0,14,17,874,0,1,0,0,0,10,56,0,36,0,0,0,0,2,0,88,0,0,0,1,11,0,5,0,0,0,1,0,0,41,4,0,0,0,0,99,16,0,0,0,0,0,0,0,0,0,0,178,0,0,0,1,0,0,0,0,0,0,10,0,12,1,76,0,57,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,39,14,0,38,0,0,0,0,0,0,1,1,0,0,0,0,12,6,0,0
"MP1_FS",0,0,0,0,0,132,13,0,0,0,0,1,0,0,0,60,1,78,15,3,0,0,0,0,0,0,6,0,0,0,381,1,0,42,0,0,0,0,5,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,2,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,1,74,2,1,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
"MP2_FS",0,0,2,0,1,38,50,0,2,0,0,0,0,1,1,44,3,637,15,0,0,0,1,9,6,0,5,1,0,1,1,1,0,18,0,0,0,2,4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,2,1,3,1,0,1,1,7,15,0,0,23,1,1,3,0,0,0,1,0,1,1,24,1,7,0,32,0,0,0,0,0,0,1,1,3,7,0,0,0,1,0,1,1,0,8,0,9,0,1,0,1,0,1,0,0,0,8,0,0,0,0,1,0
"MP3_FS",2848,1,0,0,0,2911,825,0,0,0,38,0,2,0,1,102,31,5205,4,0,0,0,0,23,420,0,207,0,0,0,0,14,0,879,0,0,0,4,19,6,55,0,0,0,0,0,0,0,59,15,3,57,1,506,343,0,1,1,0,0,0,0,0,3,1,1202,0,1,0,0,0,0,0,14,0,0,305,0,136,0,144,0,650,1,0,0,0,0,0,0,197,2,3,0,0,1,0,0,253,428,170,110,22,0,0,0,3,0,2,2,0,0,0,0,2,1,0,0
"MP4_FS",3,0,0,0,0,11,87,0,0,0,11,0,1,0,0,80,5,232,0,153,0,0,197,0,122,0,11,0,0,0,1,6,32,886,74,0,23,0,1,6,16,2,0,0,4,1,0,0,20,1,1,4,0,232,120,0,0,0,0,0,0,0,0,2,0,191,0,0,0,1,0,0,0,0,0,0,87,0,4,0,4,6,8,0,1,19,0,639,0,0,0,0,0,0,0,1,0,0,134,124,23,36,9,0,0,0,0,0,1,0,0,0,0,13,83,5,0,0
"MP5_FS",4,0,0,0,0,10,276,0,0,0,2,0,0,0,0,6,0,1161,1,252,4,0,3,1,6,4,0,0,4,0,0,2,10,82,1,1,5,0,11,0,12,0,0,0,0,0,0,3,9,0,0,4,0,44,34,0,2,9,0,0,0,0,0,0,0,107,0,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,35,17,0,74,0,0,0,0,2,0,0,0,0,0,33,14,0,8,1,0,0,0,1,0,37,0,0,0,0,2,644,17,0,0
"MP9_FS",3,0,0,2,1,2,94,0,0,1,87,0,2,0,0,15,17,2958,1,0,1,3,350,0,275,0,1,0,0,0,0,0,3,81,4,0,5,5,1,0,1,0,0,3,0,2,0,0,31,6,2,1,0,746,29,0,4,0,23,0,0,0,0,0,0,264,0,5,0,0,0,1,0,0,0,0,22,0,4,0,107,222,151,2,0,10,3,1091,0,0,1,15,0,0,0,1,0,0,281,42,0,79,2,0,0,0,0,0,41,0,0,0,0,0,27,1,0,0
